STATE,GDP_GROWTH,NUCLEAR ,COAL ,NATURAL.GAS ,PETROLEUM,HYDRO,GEOTHERMAL,SOLARPV,WIND,BIOMASS_OTHER
Alabama,224.87,32,16,40.4,0,8.8,0,0.3,0,2.5
Alaska,50.25,0,12.6,37.6,16,30.5,0,0,2.8,0.6
Arizona,372.46,28.8,12.5,46.4,0,5.9,0,5.5,0.6,0.2
Arkansas,129.07,28.5,29.1,31.8,0.1,8.1,0,0.5,0,1.9
California,3091.87,8.4,0.1,48.1,0,11,6.1,15.7,7,3.4
Colorado,390.1,0,35.9,34,0,3.3,0,2.8,23.5,0.4
Connecticut,280.9,38.2,0,57,0,1,0,0.6,0,3.3
Delaware,75.51,0,2,95.2,0.3,0,0,1.2,0.1,1.2
District of Columbia,132.53,0,0,64.8,0,0,0,8.8,0,26.4
Florida,1095.89,11.8,6.7,75.3,0.7,0.1,0,2.6,0,2.8
Georgia,619.24,27.6,11.7,49.1,0.2,3.1,0,3.3,0,5
Hawaii,89.86,0,12.5,0,66.1,1,2.2,5.7,6.2,6.3
Idaho,84.03,0,0.1,20.7,0,58.7,0.5,2.9,14.2,2.9
Illinois,863.52,57.8,17.9,14,0,0.1,0,0.1,9.9,0.4
Indiana,372.64,0,53.2,37.6,0.1,0.3,0,0.5,7.3,1.1
Iowa,192.71,4.9,23.8,11.7,0.2,1.5,0,0,57.5,0.3
Kansas,173.3,19.5,31.2,5.6,0.2,0.1,0,0.1,43.3,0.1
Kentucky,210.02,0,68.8,23.1,0.1,7.3,0,0.1,0,0.7
Louisiana,241.99,16.6,3.8,72.2,3.4,1.4,0,0.1,0,2.5
Maine,66.2,0,0.6,16.9,0.4,34.4,0,0.3,24,23.4
Maryland,422.73,41.8,9.3,38.9,0.2,4.7,0,1.7,1.5,1.8
Massachusetts,584.04,0,0,76.1,0.2,3.2,0,8.5,1.5,10.5
Michigan,515.93,28.9,26.7,33.8,0.9,0.9,0,0.2,6.4,2.2
Minnesota,374.35,26,24.9,19.7,0.1,2,0,3.1,21.6,2.7
Mississippi,114.2,9.8,7,80.4,0,0,0,0.7,0,2.1
Missouri,321.71,10.5,70.5,10.9,0.1,3,0,0.1,4.7,0.2
Montana,51.49,0,36,1.7,1.9,46.6,0,0.1,12.6,1.1
Nebraska,128.81,16.8,51.2,3.9,0,4,0,0.2,23.6,0.2
Nevada,172.6,0,4.8,66.1,0,4.8,10.2,13,0.8,0.2
New Hampshire,85.11,59,0.8,21.8,0.2,8.9,0,0,3.1,6.1
New Jersey,619.06,43.5,1.5,50.3,0.1,-0.2,0,2.6,0,2.2
New Mexico,100.31,0,37.2,35.7,0.5,0.5,0.2,4.9,20.9,0.1
New York,1699.04,29.1,0.1,40.1,0.2,23.6,0,0.8,3.8,2.3
North Carolina,586.14,34.1,16.8,33.7,0.1,5.3,0,7.2,0.4,2.4
North Dakota,54.03,0,57.3,3.6,0.1,8.1,0,0,30.8,0.1
Ohio,675.04,15,37.2,44,0.9,0.3,0,0.2,1.9,0.6
Oklahoma,186.58,0,7.1,52.4,0,4.6,0,0.1,35.4,0.4
Oregon,250.46,0,2.5,28.9,0,51.9,0.2,1.7,13.2,1.6
Pennsylvania,780.18,33.1,10.3,52.3,0,1.3,0,0.1,1.7,1.2
Rhode Island,60.22,0,0,91.8,0.1,0,0,2.6,2.9,2.6
South Carolina,241.69,55.8,12.7,24.8,0.1,2.5,0,1.8,0,2.4
South Dakota,54.85,0,9.7,6.9,0.1,50.5,0,0,32.9,0
Tennessee,364.49,47.3,18.4,20.2,0.1,12.4,0,0.4,0.1,1
Texas,1759.73,8.7,16.6,52.7,0,0.4,0,1.7,19.6,0.4
Utah,194.99,0,61.5,25.4,0.1,2.6,1,6.7,2.2,0.6
Vermont,32.8,0,0,0.1,0,57.8,0,8,16.2,17.8
Virginia,551.76,29.5,3.7,60.7,0.2,0.5,0,1.4,0,3.9
Washington,618.7,8.3,4.5,12.4,0,66.1,0,0,7.3,1.4
West Virginia,73.71,0,88.4,5,0.3,3.1,0,0,3.3,0
Wisconsin,338.68,16,39,34.8,0.2,4.7,0,0.2,2.9,2.2
Wyoming,36.24,0,80,4.3,0.1,2.6,0,0.4,12.3,0.2
