"","STATE","total_GDP","NUCLEAR","COAL","NATURAL.GAS","PETROLEUM","HYDRO","GEOTHERMAL","SOLARPV","WIND","BIOMASS_OTHER","called_b","dem_votes","rep_votes","other_votes","dem_percent","rep_percent","other_percent","Rank","consumption_Tbtu","index"
"1","Alabama",224.87,32,16,40.5,0,8.8,0,0.3,0,2.5,1,"849,624.00","1,441,170.00","32,488.00",36.6,62,1.4,35,1954.8,0.13709
"2","Alaska",50.25,0,12.6,37.6,16,30.5,0,0,2.8,0.6,1,"153,778.00","189,951.00","15,801.00",42.8,52.8,4.4,12,609.8,0.04277
"3","Arizona",372.46,28.8,12.5,46.4,0,5.9,0,5.5,0.6,0.2,0,"1,672,143.00","1,661,686.00","53,497.00",49.4,49.1,1.6,26,1487.8,0.10434
"4","Arkansas",129.07,28.5,29.1,31.8,0.1,8.1,0,0.5,0,1.9,1,"423,932.00","760,647.00","34,490.00",34.8,62.4,2.8,21,1119.7,0.07853
"5","California",3091.87,8.4,0.1,48.1,0,11,6.1,15.7,7,3.4,0,"11,110,250.00","6,006,429.00","384,192.00",63.5,34.3,2.2,50,7966.6,0.55871
"6","Colorado",390.1,0,35.9,34,0,3.3,0,2.8,23.5,0.4,0,"1,804,352.00","1,364,607.00","87,993.00",55.4,41.9,2.7,27,1513.3,0.10613
"7","Connecticut",280.9,38.2,0,57,0,1,0,0.6,0,3.3,0,"1,080,831.00","714,717.00","28,309.00",59.3,39.2,1.6,16,753,0.05281
"8","Delaware",75.51,0,2,95.2,0.3,0,0,1.2,0.1,1.2,0,"296,268.00","200,603.00","7,475.00",58.7,39.8,1.5,4,290.3,0.02036
"9","District of Columbia",132.53,0,0,64.8,0,0,0,8.8,0,26.4,0,"317,323.00","18,586.00","8,447.00",92.1,5.4,2.5,2,174.5,0.01224
"10","Florida",1095.89,11.8,6.7,75.3,0.7,0.1,0,2.6,0,2.8,1,"5,297,045.00","5,668,731.00","101,680.00",47.9,51.2,0.9,48,4281.3,0.30026
"11","Georgia",619.24,27.6,11.7,49.1,0.2,3.1,0,3.3,0,5,0,"2,473,633.00","2,461,854.00","62,229.00",49.5,49.3,1.2,42,2876.1,0.20171
"12","Hawaii",89.86,0,12.5,0,66.1,1,2.2,5.7,6.2,6.3,0,"366,130.00","196,864.00","11,475.00",63.7,34.3,2,5,292.9,0.02054
